Team1_Team2,Team1_FG_Scored,Team1_FG_Attempted,Team1_FG_Percent,Team2_FG_Scored,Team2_FG_Attempted,Team2_FG_Percent,Team1_2P_Scored,Team1_2P_Attempted,Team1_2P_Percent,Team2_2P_Scored,Team2_2P_Attempted,Team2_2P_Percent,Team1_3P_Scored,Team1_3P_Attempted,Team1_3P_Percent,Team2_3P_Scored,Team2_3P_Attempted,Team2_3P_Percent,Team1_eFG%,Team2_eFG%,Team1_FT_Scored,Team1_FT_Attempted,Team1_FT_Percent,Team2_FT_Scored,Team2_FT_Attempted,Team2_FT_Percent,Team1_ORB,Team2_ORB,Team1_DRB,Team2_DRB,Team1_AST,Team2_AST,Team1_STL,Team2_STL,Team1_BLK,Team2_BLK,Team1_TOV,Team2_TOV,Team1_PF,Team2_PF,Team1_PTS,Team2_PTS,Location,Year,Team 1 Home or Away,Team 2 Home or Away
Dartmouth_BostonCollege,21,56,37.5,25,51,49,15,27,55.6,18,33,54.5,6,29,20.7,7,18,38.9,42.9,55.9,9,13,69.2,16,25,64,8,9,23,30,6,9,5,2,3,0,8,12,18,16,57,73,Silvio O. Conte Forum,2022,away,away
HolyCross_BostonCollege,24,52,46.2,34,57,59.6,20,35,57.1,31,43,72.1,4,17,23.5,3,14,21.4,50,62.3,3,83,7.5,14,20,70,8,5,22,24,9,17,3,12,3,2,19,9,18,15,55,85,Silvio O. Conte Forum,2022,away,away
Fairfield_BostonCollege,21,53,39.6,25,50,50,13,32,40.6,19,41,46.3,8,21,38.1,6,96,6.7,47.2,56,14,17,82.4,16,27,59.3,8,10,21,26,11,12,7,9,1,4,14,15,21,21,64,72,Silvio O. Conte Forum,2022,away,away
BostonCollege_RhodeIsland,14,56,25,19,43,44.2,11,44,25,13,27,48.1,3,12,25,6,16,37.5,27.7,51.2,18,24,75,13,20,65,19,5,23,24,9,16,7,8,4,13,13,14,18,22,49,57,Ryan Center,2022,away,home
Utah_BostonCollege,25,54,46.3,22,52,42.3,19,38,50,16,40,40,6,16,37.5,6,12,50,51.9,48.1,12,13,92.3,11,15,73.3,4,7,24,25,17,10,5,4,3,1,11,14,11,17,68,61,Ocean Center,2022,away,away
Columbia_BostonCollege,22,52,42.3,26,62,41.9,14,28,50,18,40,45,8,24,33.3,8,22,36.4,50,48.4,8,15,53.3,13,22,59.1,4,19,24,29,12,10,7,8,2,5,10,11,17,12,60,73,Silvio O. Conte Forum,2022,away,away
SouthFlorida_BostonCollege,20,56,35.7,24,54,44.4,16,40,40,19,39,48.7,4,16,25,5,15,33.3,39.3,49.1,5,11,45.5,11,16,68.8,15,8,26,24,7,15,2,6,8,6,13,6,16,12,49,64,Silvio O. Conte Forum,2022,away,away
NotreDame_BostonCollege,21,55,38.2,27,55,49.1,13,27,48.1,21,42,50,8,28,28.6,6,13,46.2,45.5,54.5,7,71,0,13,17,76.5,6,10,21,28,13,13,5,9,1,3,11,11,11,7,57,73,Silvio O. Conte Forum,2022,away,away
BostonCollege_SaintLouis,25,59,42.4,29,55,52.7,22,42,52.4,18,28,64.3,3,17,17.6,11,27,40.7,44.9,62.7,15,20,75,10,12,83.3,11,6,21,25,14,20,10,5,2,4,11,15,17,19,68,79,Chaifetz Arena,2022,away,home
Albany_BostonCollege,25,54,46.3,22,57,38.6,17,38,44.7,17,41,41.5,8,16,50,5,16,31.2,53.7,43,3,47,5,8,12,66.7,6,17,20,24,10,10,7,7,4,5,7,13,14,12,61,57,Silvio O. Conte Forum,2022,away,away
