teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS,SOS,NET
AbileneChristian,29,27.1034,20.7241,60.4138,51.3103,44.8759,40.231,19.4828,15.1724,38.2414,33.3793,51.2,44.8931,7.6207,5.5517,25.1379,23,33.3241,29.7724,51.2034,45.6345,13.8966,13.4483,23.4828,27.931,66.6,62.6793,11.5172,9.069,24.5862,24.8276,17.6552,10.3103,9.7241,6.5172,2.9655,3.7931,13.5862,19.931,19.1034,20.1379,75.7241,60.4483,268,121
AirForce,25,20.88,26.16,46.8,52.36,44.72,50.148,13.92,18.4,25.72,31.16,53.92,59.708,6.96,7.76,21.08,30.04,32.18,33.38,52.264,57.524,10,11.84,25.36,21.96,59.168,62.904,4.4,10.32,18.8,24.28,12.32,14.72,7.08,6,2.48,2.12,14.44,13.92,16.6,16.72,58.72,71.92,113,264
Akron,23,27.3043,27,61.5217,62.3913,44.4739,43.3391,17.8696,20.4348,33.1739,41.2609,54.6391,49.6304,9.4348,6.5652,28.3478,23.5217,33.287,30.3304,52.3043,48.5565,14.1304,11.6087,26.3043,29.7391,69.387,56.1348,11.1739,10.9565,27.3043,25.2174,13.2609,12.1304,4.913,5.6087,3.6522,2.2174,11.6522,11.913,17.9565,18.3478,78.1739,72.1739,151,126
Alabama,33,28,25.3636,64.3939,62.2121,43.5242,40.9636,17.4545,19.1515,34.4242,40.8788,51.7606,47.6242,10.5455,6.2121,29.9697,21.3333,34.8333,28.2818,51.7455,45.9667,13.1212,13.1515,28.8182,24.0303,60.7152,62.6727,12.5758,11.6364,28.0909,26.3939,14,11.1212,8.4848,7.9091,4.303,4.8788,13.9091,15.3333,18.2727,18.1515,79.6667,70.0909,33,32
AlabamaA&M,15,23.1333,23.3333,57.8667,59.4,39.7133,39.4667,17.6,17.7333,38.6667,39.6,46.1,44.92,5.5333,5.6,24.7333,24.2667,26.38,26.2867,44.3867,44.2533,11.5333,14.9333,24.2667,22.2,57.6,67.0067,10.7333,11.5333,27.7333,27.2667,11,12.5333,5.4667,8.0667,3.6,2.6667,15.2667,12.8,18.2,16.8,63.3333,67.2,346,320
AlabamaState,18,21.2778,25.3333,56.0556,57.8889,38.1444,43.7111,15.1111,19.3333,36.6111,39.4444,41.6389,48.7333,6.1667,6,19.4444,18.4444,31.9333,32.8944,43.6389,48.9611,15.5,14.8889,23.9444,21.3889,65.4389,69.8278,11.3889,10.4444,24.8889,27.1667,9.7222,12.6111,6.1111,7.7222,2.3889,4.1667,16.1667,14.8889,19.1111,21.5556,64.2222,71.5556,347,312
Albany,16,24.6875,25.125,55.1875,55.875,45.1188,45.1875,18.3125,18,36.25,35.25,51.1625,51.2187,6.375,7.125,18.9375,20.625,33.375,34.7375,50.9688,51.6,13.625,11.3125,23.75,36.5625,66.9875,53.3437,6.875,8.6875,23.125,23.9375,11.6875,12.25,6.125,5.625,1.8125,4,12.5625,14.5625,17.8125,18.4375,69.375,68.6875,303,285
AlcornState,19,22.8947,25.4211,58.2632,52.2105,39.5526,48.3474,16.9474,18.3684,38.4737,31.8421,44.7263,57.4211,5.9474,7.0526,19.7895,20.3684,30.0684,33.6368,44.7526,55.1263,14.3684,17.7368,19.7895,26.1579,72.6158,66.4211,11.0526,9.2105,20.9474,25.6842,9.3158,14.7368,7.5789,6.7368,1.5789,4.1579,14.5263,15.7368,20.7368,17.7895,66.1053,75.6316,166,262
American,10,24.8,26.8,55.7,58.4,44.35,46.19,15.8,21.8,31.9,41.2,49.54,53.3,9,5,23.8,17.2,36.77,28.91,52.37,50.52,10.5,15,32.2,22.4,58.02,68.12,7.8,10.6,24.8,24.5,12.8,11.7,7.3,8.5,4.7,2.5,15.8,12.5,19.3,15.6,69.1,73.6,147,335
AppalachianState,29,23.7931,23.7586,58.2069,56.8276,40.8483,41.8034,15.7586,16.7931,32.7931,35.3793,47.4483,47.5655,8.0345,6.9655,25.4138,21.4483,31.4897,32.0759,47.7828,47.9862,14.6897,9.6552,25.5172,29.1379,68.1379,57.0483,11.1724,9.5862,25.1379,25.5862,11.7241,11.931,7.931,5.6552,3.6897,4.3103,11.8276,13.9655,13.5862,17.4828,70.3103,64.1379,236,167
