teamName,matches,_FG_Scored,opp_FG_Scored,_FG_Attempted,opp_FG_Attempted,_FG_Percent,opp_FG_Percent,_2P_Scored,opp_2P_Scored,_2P_Attempted,opp_2P_Attempted,_2P_Percent,opp_2P_Percent,_3P_Scored,opp_3P_Scored,_3P_Attempted,opp_3P_Attempted,_3P_Percent,opp_3P_Percent,_eFG%,opp_eFG%,_FT_Scored,opp_FT_Scored,_FT_Attempted,opp_FT_Attempted,_FT_Percent,opp_FT_Percent,_ORB,opp_ORB,_DRB,opp_DRB,_AST,opp_AST,_STL,opp_STL,_BLK,opp_BLK,_TOV,opp_TOV,_PF,opp_PF,_PTS,opp_PTS
AbileneChristian,36,26.2778,21.7222,59.9444,49.4722,43.6389,43.8722,19.4167,15.0,38.4722,29.4444,50.1444,51.5056,6.8611,6.7222,21.4722,20.0278,31.9167,33.1806,49.375,50.6944,17.2778,17.3889,25.3889,26.1667,72.7139,70.6972,10.5,9.1111,21.5833,25.3333,14.9444,11.1944,10.8611,5.5278,1.8611,3.6111,12.5833,20.9722,22.2778,21.3611,76.6944,67.5556
Utah,31,24.2903,26.0,58.0323,59.6129,41.8065,43.5258,16.6452,19.129,35.1935,38.7097,47.1839,49.171,7.6452,6.871,22.8387,20.9032,33.1903,32.9871,48.4032,49.3258,13.4839,12.0,17.4194,24.6452,78.1226,63.4194,10.5161,10.6129,25.7419,25.3871,13.2903,13.129,4.5806,6.1935,2.9032,3.6452,12.2581,10.3226,16.5161,16.7742,69.7097,70.871
TexasA&M,40,25.85,23.1,58.35,55.75,44.385,41.6225,19.35,16.35,38.375,34.425,50.3775,47.4975,6.5,6.75,19.975,22.275,32.86,31.595,50.015,47.805,14.5,13.125,22.325,27.4,68.9875,63.595,12.075,11.625,23.425,23.2,13.525,14.775,9.95,7.225,3.4,4.55,13.1,16.875,17.525,17.6,72.7,66.075
UTA,29,24.5172,23.931,58.4828,57.8966,41.6724,41.5931,18.1724,15.7931,38.2414,34.8621,47.531,45.8517,6.3448,8.1379,20.2414,23.0345,31.1793,34.931,47.0552,48.6621,11.7931,12.7241,22.2069,23.3793,66.5966,64.969,11.5517,11.6207,25.2414,24.9655,13.9655,15.5517,7.8276,7.0345,4.2069,3.0345,14.0,13.8621,17.9655,16.5517,67.1724,68.7241
NonDivI-McMurry,1,17.0,34.0,43.0,64.0,39.5,53.1,10.0,29.0,19.0,44.0,52.6,65.9,7.0,5.0,24.0,20.0,29.2,25.0,47.7,57.0,13.0,16.0,18.0,24.0,72.2,66.7,3.0,12.0,22.0,26.0,12.0,24.0,6.0,17.0,0.0,2.0,28.0,14.0,22.0,18.0,54.0,89.0
NonDivI-Schreiner,2,17.0,37.0,48.0,66.0,35.5,56.1,13.5,26.0,28.0,41.5,49.0,62.9,3.5,11.0,20.0,24.5,17.5,42.85,39.15,64.5,9.0,12.0,17.0,16.5,52.1,73.15,7.0,12.5,16.5,27.5,6.5,26.0,6.5,15.5,1.0,5.5,28.5,17.0,15.5,21.0,46.5,97.0
NonDivI-DallasUniversity,1,18.0,39.0,52.0,77.0,34.6,50.6,13.0,29.0,36.0,50.0,36.1,58.0,5.0,10.0,16.0,27.0,31.2,37.0,39.4,57.1,24.0,20.0,31.0,25.0,77.4,80.0,8.0,13.0,24.0,27.0,10.0,24.0,4.0,7.0,3.0,2.0,18.0,6.0,19.0,27.0,65.0,108.0
IncarnateWord,32,23.0312,28.4375,55.2188,57.3125,41.8188,49.7031,14.4062,20.9688,30.5625,36.8438,47.0219,57.0,8.625,7.4688,24.6562,20.4688,35.0469,35.7562,49.6688,56.2719,12.3438,12.0625,30.2188,28.6875,62.7188,59.4594,7.8438,9.75,21.625,25.625,11.25,13.6875,5.0938,6.625,1.7812,2.375,13.375,12.5938,17.375,16.4688,67.0312,76.4062
Drexel,29,27.4483,26.5862,59.2414,59.1034,46.2724,45.0793,20.1724,20.2069,38.2414,40.1379,52.6724,50.3586,7.2759,6.3793,24.0,18.9655,33.4793,33.4379,52.4966,50.469,10.6552,10.7241,25.5862,20.1379,58.3966,65.7655,8.6207,8.8966,25.6207,25.1034,12.4828,10.931,4.7586,6.3793,3.0,2.4828,10.8966,11.0,15.2069,16.3103,72.8276,70.2759
CalStateBakersfield,28,24.3571,21.1786,57.6071,48.5714,42.0679,43.9429,20.5357,14.0714,44.3214,28.3571,46.2393,49.5286,3.8214,7.1071,32.1429,20.2143,22.6,35.0964,45.3107,51.2893,12.3214,16.8571,26.0714,22.8214,64.125,73.5643,12.0714,7.8929,22.9643,23.4643,9.9643,11.2143,6.1786,5.4286,2.3929,2.25,11.6786,13.8571,20.6071,17.8929,64.8571,66.3214
